기간,HS코드,품목명,수출 중량,수출 금액,수입 중량,수입 금액,무역수지
2023,721070,페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것,1368233.5,1825583,244519.9,201097,1624486
2023,721119,기타,4427.8,6564,1758.1,1802,4762
2023,721391,횡단면이 원형인 것으로 지름이 14밀리미터 미만인 것,538620.8,373584,595242.7,386702,-13118
2023,721420,"압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",21310.6,17008,498411.5,304223,-287215
2023,721631,유(U)형강,43628,38105,85769.8,58789,-20684
2023,721632,아이(I)형강,10018.8,7036,15526.7,13271,-6235
2023,721633,에이치(H)형강,595050.1,497076,426837.8,316450,180627
2023,721710,도금하거나 도포하지 않은 것(연마한 것인지에 상관없다),73307.8,130344,38549,27154,103190
2023,721933,두께가 1밀리미터를 초과 3밀리미터 미만인 것,149944.7,308414,184812.9,437160,-128746
2023,722020,냉간압연(냉간환원)보다 더 가공하지 않은 것,49780.5,189821,7588.7,57211,132610
2023,722511,방향성(方向性)인 것,59110.7,197497,26195,72108,125389
2023,722519,기타,376175.8,390999,78476,76386,314612
2023,722540,"기타[코일 모양은 제외하고, 열간(熱間)압연보다 더 가공하지 않은 것으로 한정한다]",22558.3,51636,100744.3,166027,-114391
2023,722550,기타[냉간압연(냉간환원)보다 더 가공하지 않은 것으로 한정한다],498819.6,486025,34082.9,78295,407730
2023,730441,냉간인발(冷間引拔)하거나 냉간압연(냉간환원)한 것,5527.9,105136,13285.6,121443,-16307
2024,720839,두께가 3밀리미터 미만인 것,1631373.9,967912,1622431.7,909678,58234
2024,720852,두께가 4.75밀리미터 이상 10밀리미터 이하인 것,302535.9,218149,188388,132887,85262
2024,720917,두께가 0.5밀리미터 이상 1밀리미터 이하인 것,1763091.2,1285184,168229.6,113501,1171683
2024,721049,기타,3276103.1,2919477,1111257.2,803249,2116228
2024,721061,알루미늄-아연 합금을 도금하거나 도포한 것,379835.5,360463,295330.3,213303,147160
2024,721070,페인팅한 것ㆍ바니시한 것ㆍ플라스틱을 도포한 것,1483930.4,1970587,402177.9,289742,1680845
2024,721119,기타,5025.4,6053,1785.6,1874,4179
2024,721391,횡단면이 원형인 것으로 지름이 14밀리미터 미만인 것,433861.5,294055,489813.5,295089,-1034
2024,721420,"압연공정에서 발생하는 톱니 모양의 마디ㆍ리브(rib)ㆍ홈이나 그 밖의 모양으로 된 것, 압연 후 꼬임가공된 것",39269.3,26372,241501.3,132136,-105764
2024,721631,유(U)형강,48220.6,37835,66754.2,39227,-1392
2024,721632,아이(I)형강,5695.1,3806,17377,13101,-9296
2024,721633,에이치(H)형강,794561.3,575773,365290.6,253104,322669
2024,721710,도금하거나 도포하지 않은 것(연마한 것인지에 상관없다),79026.8,137632,46763.5,31251,106381
2024,721933,두께가 1밀리미터를 초과 3밀리미터 미만인 것,172953.8,341528,191142.5,399233,-57705
2024,722020,냉간압연(냉간환원)보다 더 가공하지 않은 것,53611.8,192689,9739,65877,126812
2024,722511,방향성(方向性)인 것,87189.4,196241,35817.6,65912,130329
2024,722519,기타,513328.1,501676,93393,89428,412248
2024,722540,"기타[코일 모양은 제외하고, 열간(熱間)압연보다 더 가공하지 않은 것으로 한정한다]",25093.5,69974,100219.6,168085,-98111
2024,722550,기타[냉간압연(냉간환원)보다 더 가공하지 않은 것으로 한정한다],610403.4,532221,36509.3,70070,462151
2024,730441,냉간인발(冷間引拔)하거나 냉간압연(냉간환원)한 것,4201.1,66348,11955.3,95253,-28904
